,category,Fitness,Blood,Diabetes,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Maternal,Phishing,ELO
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,
task_id,,363671,363621,363629,363615,363698,363612,363625,363675,363685,363707,
CAT,ML,0.803406684815487,0.7050877192982457,0.8376171352074967,707.2177838410694,0.9170500156250383,1.1912702718003423,4.333585714498188,4075.95781501091,0.4194495649199026,0.2096628570755173,1433.7
EBM,ML,0.7998147307924985,0.720701754385965,0.8536144578313253,720.7888856414239,0.9338630759696042,1.8751122184601097,4.3791586681933,4036.8570231296108,0.5008673071861267,0.23986025154590607,1292.8
KNN,ML,0.7734800362976406,0.6987719298245614,0.8142570281124498,748.8332724043795,0.9471641989379048,2.553026758666722,6.260830250399818,4630.235613436097,0.7841119766235352,0.368958055973053,822.0
LR,ML,0.8008356019358742,0.748859649122807,0.8262382864792504,728.5160420265911,0.97713369662337,4.7521850275766075,7.9501029449478455,5585.882360476944,0.7722097635269165,0.33630067110061646,995.5
REALMLP_GPU,DL,0.8019131881427707,0.7248245614035088,0.8390227576974565,702.3571227465733,0.9277910670743514,1.0574588562226745,4.1443805956176565,4053.78243177254,0.39439043402671814,0.21098873019218445,1526.8
REALTABPFN-V2.5,Foundation,0.8097682244404114,0.7272368421052632,0.84190093708166,697.4176906057517,0.897436572997375,0.904754868538982,3.757035054282707,4101.051858354645,0.38372504550391073,0.20871952774475078,1742.7
FTTransformer,DL,0.80295296430732,0.7185087719298245,0.8208835341365461,888.8334009612936,1.044015876783817,2.8391759048295855,6.24354772675397,4393.419627855666,0.5519950665282777,0.22404385911772037,1035.6
LLMBaseline,LLM,,0.710701754385965,0.7922021419009371,,1.377322526120282,,7.720128989237772,5885.299005555479,0.8115161339868574,0.2403135112802993,890.5
LLMBaseline260429-LB-Bidir,LLM,,0.6815789473684211,0.8009370816599732,,1.040554247101543,2.464171059043274,7.322657469038752,4291.811304485487,,0.2880970676992388,931.1
LLMBaselineBidirectional260426-BaselineBidir,LLM,,0.6734210526315789,0.7977911646586345,,1.0087522714138428,1.5983596291552393,4.798822955372686,4355.697470051612,,,971.3
LLMSlot260506-LS-qwen-bidir,LLM,0.8049947065940714,0.7286842105263158,0.8372824631860777,714.6104419860101,0.9254259058063908,1.0537842187852595,4.664201799398766,4130.338045671192,0.548050135105994,0.2316493050247191,1343.1
LLMSlot260506-LS-qwen-causal,LLM,0.802102238354507,0.7007894736842105,0.8315261044176707,714.4535825112855,0.939283172257532,1.0913058856673574,4.77623085562611,4065.128559091128,0.5283421322771341,0.22117994604919564,1279.4
LLMSlot260506-LS-qwen-structured,LLM,0.8007410768300061,0.707280701754386,0.834136546184739,712.5798086267419,0.9352895871184902,1.0783615381411018,4.820389031856867,4035.016834012672,0.5222894690120878,0.22358117232210883,1312.8
LLMSlot260508-LS-qwen-bidir-num_emb-pwl,LLM,0.8035201149425287,0.6897368421052632,0.8300535475234271,727.3725441500238,0.9325568205616497,1.108451140060956,4.261002230057031,4070.331522459606,0.4432495281571692,0.22878758785937492,1303.9
LLMSlot260508-LS-qwen-causal-num_emb-pwl,LLM,0.804559891107078,0.7070175438596491,0.8234270414993307,714.4687026057085,0.9107503152711104,1.0738539418180215,4.157731304973365,4061.394547016986,0.47867455885565696,0.23064820643337558,1372.7
LLMSlot260508-LS-qwen-structured-num_emb-pwl,LLM,0.8030285843920145,0.6954385964912281,0.8278447121820616,708.1064583944047,0.9618492771347623,1.0686814499936084,4.338616565612279,4096.234226944431,0.4594627861653113,0.22312022832595757,1308.4
