,category,Fitness,Blood,Diabetes,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Maternal,Phishing,ELO
metric,,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,
task_id,,363671,363621,363629,363615,363698,363612,363625,363675,363685,363707,
REALMLP_GPU,DL,0.8019131881427707,0.7248245614035088,0.8390227576974565,702.3571227465733,0.9277910670743514,1.0574588562226745,4.1443805956176565,4053.78243177254,0.39439043402671814,0.21098873019218445,1497.2
TABM_GPU,DL,0.8055240471869328,0.7150877192982457,0.8226907630522088,721.9544417024495,0.9155270426401956,0.9851177684571369,4.389217330636611,4119.4993828019915,0.47097463808182805,0.22117249998760877,1339.7
XRFM_GPU,DL,0.801799758015729,0.7228947368421053,0.8427041499330656,702.997921619988,0.9051661402310825,1.1778388854329223,4.401057216637763,4164.471571090113,0.3959020674228668,0.24711748957633972,1382.9
REALTABPFN-V2.5,Foundation,0.8097682244404114,0.7272368421052632,0.84190093708166,697.4176906057517,0.897436572997375,0.904754868538982,3.757035054282707,4101.051858354645,0.38372504550391073,0.20871952774475078,1729.6
TABDPT_GPU,Foundation,0.8075846944948578,0.7281140350877193,0.8426706827309237,687.4641407738321,0.8997330162608862,0.9867752054046761,4.048292681068601,4098.722576870162,0.34655784868307293,0.21258257422356566,1703.4
TABPFNV2_GPU,Foundation,0.8087568058076225,0.7240350877192983,0.8396921017402945,691.3057504436622,0.9093026428541026,0.9659417311494658,4.0663573897618885,4258.5479623916735,0.4200149210576656,0.21386199246588364,1547.7
FTTransformer,DL,0.80295296430732,0.7185087719298245,0.8208835341365461,888.8334009612936,1.044015876783817,2.8391759048295855,6.24354772675397,4393.419627855666,0.5519950665282777,0.22404385911772037,1021.0
LLMBaseline,LLM,,0.710701754385965,0.7922021419009371,,1.377322526120282,,7.720128989237772,5885.299005555479,0.8115161339868574,0.2403135112802993,904.9
LLMBaseline260429-LB-Bidir,LLM,,0.6815789473684211,0.8009370816599732,,1.040554247101543,2.464171059043274,7.322657469038752,4291.811304485487,,0.2880970676992388,946.6
LLMBaselineBidirectional260426-BaselineBidir,LLM,,0.6734210526315789,0.7977911646586345,,1.0087522714138428,1.5983596291552393,4.798822955372686,4355.697470051612,,,984.4
LLMSlot260506-LS-qwen-bidir,LLM,0.8049947065940714,0.7286842105263158,0.8372824631860777,708.2014058535946,0.9254259058063908,1.0537842187852595,,4130.338045671192,0.548050135105994,0.2316493050247191,1325.7
LLMSlot260506-LS-qwen-causal,LLM,0.802102238354507,0.7007894736842105,0.8315261044176707,714.4535825112855,0.939283172257532,1.0913058856673574,4.77623085562611,4065.128559091128,0.5283421322771341,0.22117994604919564,1256.4
LLMSlot260506-LS-qwen-structured,LLM,0.8007410768300061,0.707280701754386,0.834136546184739,712.5798086267419,0.9352895871184902,1.0783615381411018,4.820389031856867,4035.016834012672,0.5222894690120878,0.22358117232210883,1296.1
LLMSlot260508-LS-qwen-bidir-num_emb-pwl,LLM,0.8035201149425287,0.6897368421052632,0.8300535475234271,727.3725441500238,0.9325568205616497,1.108451140060956,4.261002230057031,4070.331522459606,0.4432495281571692,,1240.6
LLMSlot260508-LS-qwen-causal-num_emb-pwl,LLM,0.804559891107078,0.7070175438596491,0.8234270414993307,714.4687026057085,0.9107503152711104,1.0738539418180215,4.157731304973365,4061.394547016986,0.47867455885565696,,1303.5
LLMSlot260508-LS-qwen-structured-num_emb-pwl,LLM,,0.6954385964912281,,,,1.0686814499936084,,,,,1073.9
LLMSlotBoost260510-LSB-qwen-causal-eos4,LLM,0.80295296430732,0.7060526315789474,,1885.3187956326856,1.4798344141348216,6.919372093936807,,11232.798524144264,0.5323465219734592,,935.4
LLMSlotBoost260510-LSB-qwen-causal-trainable4,LLM,0.8028962492437991,0.7102631578947368,,,1.4812828201151722,6.900483579112223,,11248.802424684516,0.4914114426726457,,990.4
LLMSlotBoost260510-LSB-qwen-causal-trainable8,LLM,0.8029151542649727,0.7101754385964912,,,,6.927138709957523,,,0.5216589797172022,,1039.7
